"13300000","7420","4","2","3","yes","no","no_1","no_2","yes_1","2_1","yes_2","furnished"
9800000,5750,3,2,4,true,true,false,false,true,1,true,"unfurnished"
9310000,6550,4,2,2,true,false,false,false,true,1,true,"semi-furnished"
9100000,6600,4,2,2,true,true,true,false,true,1,true,"unfurnished"
8855000,6420,3,2,2,true,false,false,false,true,1,true,"semi-furnished"
8645000,8050,3,1,1,true,true,true,false,true,1,false,"furnished"
8645000,4560,3,2,2,true,true,true,false,true,1,false,"furnished"
8400000,8875,3,1,1,true,false,false,false,false,1,false,"semi-furnished"
8400000,5500,4,2,2,true,false,true,false,true,1,true,"semi-furnished"
8295000,4880,4,2,2,true,false,false,false,true,1,true,"furnished"
8190000,5960,3,3,2,true,true,true,false,false,1,false,"unfurnished"
8120000,6840,5,1,2,true,true,true,false,true,1,false,"furnished"
8043000,7482,3,2,3,true,false,false,true,false,1,true,"furnished"
7910000,6000,4,2,4,true,false,false,false,true,1,false,"semi-furnished"
7560000,6000,4,2,4,true,false,false,false,true,1,false,"furnished"
7525000,6000,3,2,4,true,false,false,false,true,1,false,"furnished"
7455000,4300,3,2,2,true,false,true,false,false,1,false,"unfurnished"
7420000,7440,3,2,4,true,false,false,false,false,1,true,"unfurnished"
7420000,6325,3,1,4,true,false,false,false,true,1,false,"unfurnished"
7350000,6000,4,2,4,true,true,false,false,true,1,false,"furnished"
7350000,6000,3,2,2,true,true,false,false,true,1,false,"semi-furnished"
7350000,6000,3,1,2,true,false,false,false,true,1,false,"unfurnished"
7343000,11440,4,1,2,true,false,true,false,false,1,true,"semi-furnished"
7245000,9000,4,2,4,true,true,false,false,true,1,true,"furnished"
7210000,7680,4,2,4,true,true,false,false,true,1,false,"semi-furnished"
7210000,6000,3,2,4,true,true,false,false,true,1,false,"furnished"
7140000,6000,3,2,2,true,true,false,false,false,1,false,"semi-furnished"
7070000,8880,2,1,1,true,false,false,false,true,1,false,"semi-furnished"
7070000,6240,4,2,2,true,false,false,false,true,1,false,"furnished"
7000000,11175,3,1,1,true,false,true,false,true,1,true,"furnished"
6930000,8880,3,2,2,true,false,true,false,true,1,false,"furnished"
6930000,13200,2,1,1,true,false,true,true,false,1,false,"furnished"
6860000,6000,3,1,1,true,false,false,false,true,1,false,"furnished"
6650000,4040,3,1,2,true,false,true,true,false,1,false,"furnished"
6629000,6000,3,1,2,true,false,false,true,false,1,true,"semi-furnished"
6615000,4000,3,2,2,true,false,true,false,true,1,false,"semi-furnished"
6615000,10500,3,2,1,true,false,true,false,true,1,true,"furnished"
6300000,6000,4,2,4,true,false,false,false,false,1,false,"semi-furnished"
6300000,9000,3,1,1,true,false,true,false,false,1,true,"furnished"
6300000,6400,3,1,1,true,true,true,false,true,1,true,"semi-furnished"
6230000,5500,3,1,3,true,false,false,false,false,1,true,"unfurnished"
6195000,5500,3,2,4,true,true,false,false,true,1,false,"semi-furnished"
6107500,3240,4,1,3,true,false,false,false,false,1,false,"semi-furnished"
6090000,6615,4,2,2,true,true,false,true,false,1,false,"semi-furnished"
5950000,6254,4,2,1,true,false,true,false,false,1,true,"semi-furnished"
5950000,6525,3,2,4,true,false,false,false,false,1,false,"furnished"
5873000,5500,3,1,3,true,true,false,false,true,1,false,"furnished"
5740000,4640,4,1,2,true,false,false,false,false,1,false,"semi-furnished"
5652500,6660,4,2,2,true,true,true,false,false,1,true,"semi-furnished"
5600000,10500,4,2,2,true,false,false,false,false,1,false,"semi-furnished"
5600000,4700,4,1,2,true,true,true,false,true,1,false,"furnished"
5600000,10500,2,1,1,true,false,false,false,false,1,false,"semi-furnished"
5600000,5500,3,2,2,true,false,false,false,false,1,false,"semi-furnished"
5495000,2817,4,2,2,false,true,true,false,false,1,false,"furnished"
5390000,6710,3,2,2,true,true,true,false,false,1,true,"furnished"
5250000,10269,3,1,1,true,false,false,false,false,1,true,"semi-furnished"
5250000,3800,3,1,2,true,true,true,false,false,1,true,"unfurnished"
5215000,7200,3,1,2,true,true,true,false,false,1,true,"furnished"
5145000,7980,3,1,1,true,false,false,false,false,1,true,"semi-furnished"
4956000,2800,3,2,2,false,false,true,false,true,1,false,"semi-furnished"
4907000,4200,3,1,2,true,false,false,false,false,1,false,"furnished"
4900000,4120,2,1,1,true,false,true,false,false,1,false,"semi-furnished"
4760000,6321,3,1,2,true,false,true,false,true,1,false,"furnished"
4690000,6000,2,1,1,true,false,true,false,true,1,false,"furnished"
4690000,9667,4,2,2,true,true,true,false,false,1,false,"semi-furnished"
4620000,5680,3,1,2,true,true,false,false,true,1,false,"semi-furnished"
4585000,4000,3,1,2,true,false,false,false,false,1,false,"furnished"
4585000,3840,3,1,2,true,false,false,false,false,1,true,"semi-furnished"
4515000,3450,3,1,2,true,false,true,false,false,1,false,"semi-furnished"
4480000,5885,2,1,1,true,false,false,false,true,1,false,"unfurnished"
